"('L', 'R', 'A')",count,Vbias
"(5, 150, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 130, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 150, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 160, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 90, 10)",7.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(5, 170, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 140, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 160, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 170, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 140, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 140, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 160, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 160, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 150, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 100, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 140, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 130, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 140, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 120, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 140, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 190, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 130, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 130, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 140, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 190, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 120, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 140, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 160, 15)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 130, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 200, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 150, 5)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 110, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 200, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 170, 10)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 160, 20)",7.0,"[1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 70, 5)",8.0,"[1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8]"
"(10, 90, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 90, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 80, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 100, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 120, 15)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 110, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 100, 15)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 120, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 120, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 130, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 120, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 130, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 110, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 120, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 110, 15)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 120, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 110, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 100, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 110, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 100, 20)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 100, 15)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 100, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 100, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 90, 15)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 90, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 90, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(20, 100, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(5, 90, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(10, 110, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 100, 10)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
"(15, 100, 5)",8.0,"[1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 1.9]"
